State Display Name,State URL Name,State Court URL,,State Display Name,State URL Name,District Display Name,District URL Name,Temp1,Temp2,District Court URL,Case Number,FIR Number,Party Name,Advocate Name,Case Code,Act,Case Type,Case Number,Court Number,Party Name,Order Date,Case List,StateInterim,StateFinal,DistrictInterim,DistrictFinal
Andaman and Nicobar,andaman,https://districts.ecourts.gov.in/andaman,,Andaman and Nicobar,andaman,Nicobar,/nicobar,<p><b>Andaman and Nicobar</b></p><ul>,<p><b>Andaman and Nicobar</b></p><ul><li><a href='https://districts.ecourts.gov.in/nicobar'>Nicobar</a></li>,https://districts.ecourts.gov.in/nicobar,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=0&dist_cd=0,=0,0,=0,0
Andhra Pradesh,ap,https://districts.ecourts.gov.in/ap,,Andaman and Nicobar,andaman,North and Middle Andaman,/north-and-middle-andaman,,<li><a href='https://districts.ecourts.gov.in/north-and-middle-andaman'>North and Middle Andaman</a></li>,https://districts.ecourts.gov.in/north-and-middle-andaman,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=0&dist_cd=0,=0,0,=0,0
Arunachal Pradesh,arunachal,https://districts.ecourts.gov.in/arunachal,,Andaman and Nicobar,andaman,South Andaman,/south%20andaman,,<li><a href='https://districts.ecourts.gov.in/south%20andaman'>South Andaman</a></li>,https://districts.ecourts.gov.in/south%20andaman,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=0&dist_cd=0,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=0&dist_cd=0,=0,0,=0,0
Assam,assam,https://districts.ecourts.gov.in/assam,,Andhra Pradesh,ap,Anantpur,/anantpur,</ul><p><b>Andhra Pradesh</b></p><ul>,</ul><p><b>Andhra Pradesh</b></p><ul><li><a href='https://districts.ecourts.gov.in/anantpur'>Anantpur</a></li>,https://districts.ecourts.gov.in/anantpur,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=2&dist_cd=2,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=2&dist_cd=2,=2,2,=2,2
Bihar,bihar,https://districts.ecourts.gov.in/bihar,,Andhra Pradesh,ap,Chittoor,/chittoor,,<li><a href='https://districts.ecourts.gov.in/chittoor'>Chittoor</a></li>,https://districts.ecourts.gov.in/chittoor,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=2&dist_cd=3,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=2&dist_cd=3,=2,2,=3,3
Chandigarh,chandigarh-district-court,https://districts.ecourts.gov.in/chandigarh-district-court,,Andhra Pradesh,ap,Kadapa,/kadapa,,<li><a href='https://districts.ecourts.gov.in/kadapa'>Kadapa</a></li>,https://districts.ecourts.gov.in/kadapa,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=2&dist_cd=7,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=2&dist_cd=7,=2,2,=7,7
Chhattisgarh,chhattisgarh,https://districts.ecourts.gov.in/chhattisgarh,,Andhra Pradesh,ap,East Godavari,/eastgodavari,,<li><a href='https://districts.ecourts.gov.in/eastgodavari'>East Godavari</a></li>,https://districts.ecourts.gov.in/eastgodavari,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=2&dist_cd=4,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=2&dist_cd=4,=2,2,=4,4
Dadra and Nagar Haveli,dadra,https://districts.ecourts.gov.in/dadra,,Andhra Pradesh,ap,Guntur,/guntur,,<li><a href='https://districts.ecourts.gov.in/guntur'>Guntur</a></li>,https://districts.ecourts.gov.in/guntur,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=2&dist_cd=5,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=2&dist_cd=5,=2,2,=5,5
Daman and Diu,damandiu,https://districts.ecourts.gov.in/damandiu,,Andhra Pradesh,ap,West Godavari,/westgodavari,,<li><a href='https://districts.ecourts.gov.in/westgodavari'>West Godavari</a></li>,https://districts.ecourts.gov.in/westgodavari,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=2&dist_cd=23,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=2&dist_cd=23,=2,2,23,23
Delhi,delhi,https://districts.ecourts.gov.in/delhi,,Andhra Pradesh,ap,Kurnool,/kurnool,,<li><a href='https://districts.ecourts.gov.in/kurnool'>Kurnool</a></li>,https://districts.ecourts.gov.in/kurnool,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/case_no.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/fir1.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/ki_petres.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/qs_civil_advocate.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/c_index.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_actwise.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_casetype.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_kiosk_order.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_order.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_partyorder.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/s_orderdate.php?state=D&state_cd=2&dist_cd=10,https://services.ecourts.gov.in/ecourtindia_v4_bilingual/cases/dailyboard.php?state=D&state_cd=2&dist_cd=10,=2,2,10,10
